Periode,pnbp_minyak_bumi
5/1/2016,3.44483E+11
6/1/2016,4940466828
7/1/2016,2.64719E+11
8/1/2016,568028418
11/1/2016,1.73968E+11
12/1/2016,36993303534
1/13/2016,95181731807
1/14/2016,2.22637E+11
1/15/2016,1.14221E+11
1/19/2016,29465366240
1/22/2016,1.3009E+11
1/26/2016,91586168801
1/27/2016,12590279807
1/28/2016,2.39223E+11
1/29/2016,2.57695E+11
1/2/2016,1.84212E+11
2/2/2016,1.20354E+12
4/2/2016,35764026
5/2/2016,1.35039E+11
9/2/2016,2.61518E+11
11/2/2016,1.42422E+11
12/2/2016,4.14626E+11
2/15/2016,1.39573E+11
2/16/2016,1.29154E+11
2/17/2016,1.25817E+11
2/18/2016,33134269767
2/22/2016,2.48171E+11
2/23/2016,79606765642
2/26/2016,1415730058
2/29/2016,52435378983
1/3/2016,11083810836
2/3/2016,6.9456E+11
3/3/2016,2.25584E+11
8/3/2016,77496985834
10/3/2016,54187096848
11/3/2016,58393657662
3/14/2016,1.00359E+11
3/21/2016,1.61494E+11
3/23/2016,79174724568
3/24/2016,50589445010
3/28/2016,2.81071E+11
3/29/2016,2.56143E+11
3/31/2016,89560228028
5/4/2016,2.07862E+11
7/4/2016,422003
8/4/2016,17771543787
11/4/2016,7505274
12/4/2016,1.82696E+11
4/14/2016,758351
4/15/2016,2.31527E+11
4/18/2016,2.74802E+11
4/22/2016,71181720446
4/25/2016,33847687613
4/27/2016,1.04137E+11
4/28/2016,189559947
4/29/2016,1.65799E+11
2/5/2016,2.60309E+11
3/5/2016,6.6702E+11
4/5/2016,3.28126E+11
9/5/2016,69773513368
10/5/2016,1.09153E+11
12/5/2016,1.32767E+11
5/13/2016,1.5756E+11
5/16/2016,24898154713
5/19/2016,1.14445E+11
5/20/2016,21408603162
5/23/2016,67244536053
5/25/2016,97808129541
5/27/2016,1.91717E+11
5/31/2016,9.55319E+11
1/6/2016,38108509229
2/6/2016,1.62228E+11
6/6/2016,23759247314
7/6/2016,2.22194E+11
8/6/2016,1.24821E+11
9/6/2016,72513417231
10/6/2016,19226561833
6/13/2016,2736176
6/14/2016,6.86664E+11
6/15/2016,1.39566E+11
6/16/2016,18318866746
6/21/2016,2.13291E+11
6/23/2016,1.70449E+11
6/24/2016,2.51732E+11
6/28/2016,49862690741
6/29/2016,1.04623E+11
6/30/2016,17752749597
1/7/2016,2.45841E+12
11/7/2016,1.97239E+11
7/14/2016,2.3651E+11
7/15/2016,75702779525
7/18/2016,50238941324
7/19/2016,2.93523E+11
7/21/2016,33549949156
7/26/2016,2.56742E+11
7/27/2016,99254144522
7/28/2016,4031339880
7/29/2016,8.10278E+11
1/8/2016,7.93804E+11
3/8/2016,2.34071E+11
4/8/2016,1.78544E+11
5/8/2016,8.28352E+11
8/8/2016,92747834890
10/8/2016,2.39573E+11
11/8/2016,51450
12/8/2016,5.56342E+11
8/15/2016,2.74398E+11
8/16/2016,32568347354
8/18/2016,244590
8/19/2016,3.01069E+11
8/22/2016,1.4399E+11
8/23/2016,2.33998E+11
8/25/2016,86825086772
8/26/2016,44991749013
8/29/2016,6.95274E+11
8/31/2016,8.07447E+11
1/9/2016,4.02553E+11
2/9/2016,1.23535E+11
5/9/2016,60525588911
6/9/2016,42224765653
8/9/2016,2.36528E+11
9/9/2016,2.99879E+11
9/13/2016,77090083704
9/14/2016,92724920587
9/15/2016,11139846283
9/16/2016,66173180984
9/19/2016,2.37558E+11
9/20/2016,2.37723E+11
9/22/2016,83078545215
9/23/2016,1.81602E+11
9/26/2016,4.41224E+11
9/28/2016,2.46938E+11
9/29/2016,74344868171
9/30/2016,1.21183E+12
4/10/2016,3.45681E+11
7/10/2016,5.73251E+11
10/10/2016,1.06445E+11
11/10/2016,80319730325
10/17/2016,2.94512E+11
10/18/2016,8602489596
10/20/2016,3.41019E+11
10/21/2016,1.09548E+11
10/24/2016,1.31576E+11
10/25/2016,5.48916E+11
10/26/2016,39371520087
10/27/2016,58664262560
10/28/2016,73250452551
1/11/2016,1.37165E+12
3/11/2016,1.95757E+11
4/11/2016,4.75727E+11
7/11/2016,2.46412E+11
8/11/2016,1.10491E+11
9/11/2016,82455530060
10/11/2016,3.90665E+11
11/11/2016,40060219811
11/14/2016,3.58632E+11
11/15/2016,81772981071
11/18/2016,6.73199E+11
11/21/2016,4.31057E+11
11/22/2016,1.32088E+11
11/24/2016,69870074037
11/25/2016,4.32724E+11
11/28/2016,4.74412E+11
11/29/2016,6.01928E+11
11/30/2016,9198391636
1/12/2016,1.65551E+11
2/12/2016,1.78139E+12
5/12/2016,183249909
6/12/2016,4.64107E+11
8/12/2016,84576840589
9/12/2016,8.28179E+11
12/13/2016,51395370242
12/14/2016,1.27016E+11
12/15/2016,74620
12/16/2016,4.08244E+11
