Periode,migas,sim
1/1/2016,1.46597E+11,2538412294
2/1/2016,1.46597E+11,2538412294
3/1/2016,1.46597E+11,2538412294
4/1/2016,1.46597E+11,1328822520
5/1/2016,3.44483E+11,4140569370
6/1/2016,4940466828,3889222625
7/1/2016,2.64719E+11,3617950980
8/1/2016,568028418,3742693020
9/1/2016,1.46597E+11,2538412294
10/1/2016,1.46597E+11,2538412294
11/1/2016,1.73968E+11,4971049330
12/1/2016,36993303534,3930837785
1/13/2016,95181731807,3317041235
1/14/2016,2.22637E+11,3177440060
1/15/2016,1.14221E+11,2965463215
1/16/2016,1.46597E+11,2538412294
1/17/2016,1.46597E+11,2538412294
1/18/2016,1.46597E+11,4370471560
1/19/2016,29465366240,3740184720
1/20/2016,1.46597E+11,3106313550
1/21/2016,1.46597E+11,3208732160
1/22/2016,1.3009E+11,2643011420
1/23/2016,1.46597E+11,2538412294
1/24/2016,1.46597E+11,2538412294
1/25/2016,1.46597E+11,4112005075
1/26/2016,91586168801,3434877625
1/27/2016,12590279807,3136419450
1/28/2016,2.39223E+11,3165087040
1/29/2016,2.57695E+11,5012847065
1/30/2016,1.46597E+11,2538412294
1/31/2016,1.46597E+11,2538412294
1/2/2016,1.84212E+11,3417571945
2/2/2016,1.20354E+12,3349328800
3/2/2016,1.46597E+11,3356916700
4/2/2016,35764026,2994073300
5/2/2016,1.35039E+11,3063186625
6/2/2016,1.46597E+11,2538412294
7/2/2016,1.46597E+11,2538412294
8/2/2016,1.46597E+11,2538412294
9/2/2016,2.61518E+11,4516258250
10/2/2016,1.46597E+11,4241854925
11/2/2016,1.42422E+11,3237061110
12/2/2016,4.14626E+11,3248210545
2/13/2016,1.46597E+11,2538412294
2/14/2016,1.46597E+11,2538412294
2/15/2016,1.39573E+11,4028364000
2/16/2016,1.29154E+11,3969684535
2/17/2016,1.25817E+11,2933560070
2/18/2016,33134269767,2727299175
2/19/2016,1.46597E+11,2929390920
2/20/2016,1.46597E+11,2538412294
2/21/2016,1.46597E+11,2538412294
2/22/2016,2.48171E+11,3756592015
2/23/2016,79606765642,3409138145
2/24/2016,1.46597E+11,2708261270
2/25/2016,1.46597E+11,2373146100
2/26/2016,1415730058,2885368285
2/27/2016,1.46597E+11,2538412294
2/28/2016,1.46597E+11,2538412294
2/29/2016,52435378983,6009852340
1/3/2016,11083810836,2432236380
2/3/2016,6.9456E+11,2961702950
3/3/2016,2.25584E+11,3161903130
4/3/2016,1.46597E+11,3651022430
5/3/2016,1.46597E+11,2538412294
6/3/2016,1.46597E+11,2538412294
7/3/2016,1.46597E+11,5595732230
8/3/2016,77496985834,4841082855
9/3/2016,1.46597E+11,2538412294
10/3/2016,54187096848,4101244650
11/3/2016,58393657662,4512776000
12/3/2016,1.46597E+11,2538412294
3/13/2016,1.46597E+11,2538412294
3/14/2016,1.00359E+11,5038319620
3/15/2016,1.46597E+11,4365803260
3/16/2016,1.46597E+11,3708833100
3/17/2016,1.46597E+11,3012082920
3/18/2016,1.46597E+11,3267333300
3/19/2016,1.46597E+11,2538412294
3/20/2016,1.46597E+11,2538412294
3/21/2016,1.61494E+11,4516323840
3/22/2016,1.46597E+11,3959831250
3/23/2016,79174724568,2929084850
3/24/2016,50589445010,3185918610
3/25/2016,1.46597E+11,2538412294
3/26/2016,1.46597E+11,2538412294
3/27/2016,1.46597E+11,2538412294
3/28/2016,2.81071E+11,4411291600
3/29/2016,2.56143E+11,4396258000
3/30/2016,1.46597E+11,3370094000
3/31/2016,89560228028,5121138855
1/4/2016,1.46597E+11,1887140140
2/4/2016,1.46597E+11,2538412294
3/4/2016,1.46597E+11,2538412294
4/4/2016,1.46597E+11,3688390880
5/4/2016,2.07862E+11,4150584680
6/4/2016,1.46597E+11,3540775425
7/4/2016,422003,3208051650
8/4/2016,17771543787,3464181960
9/4/2016,1.46597E+11,2538412294
10/4/2016,1.46597E+11,2538412294
11/4/2016,7505274,4487201030
12/4/2016,1.82696E+11,4253089525
4/13/2016,1.46597E+11,3623516160
4/14/2016,758351,3380503470
4/15/2016,2.31527E+11,3278940340
4/16/2016,1.46597E+11,2538412294
4/17/2016,1.46597E+11,2538412294
4/18/2016,2.74802E+11,4033530495
4/19/2016,1.46597E+11,4203046220
4/20/2016,1.46597E+11,3127860810
4/21/2016,1.46597E+11,3053225280
4/22/2016,71181720446,2824463810
4/23/2016,1.46597E+11,2538412294
4/24/2016,1.46597E+11,2538412294
4/25/2016,33847687613,3959532720
4/26/2016,1.46597E+11,3490938015
4/27/2016,1.04137E+11,3057816435
4/28/2016,189559947,3346907000
4/29/2016,1.65799E+11,4020251900
4/30/2016,1.46597E+11,2538412294
1/5/2016,1.46597E+11,2538412294
2/5/2016,2.60309E+11,4387155630
3/5/2016,6.6702E+11,3761593560
4/5/2016,3.28126E+11,3689188710
5/5/2016,1.46597E+11,2538412294
6/5/2016,1.46597E+11,2538412294
7/5/2016,1.46597E+11,2538412294
8/5/2016,1.46597E+11,2538412294
9/5/2016,69773513368,5097894690
10/5/2016,1.09153E+11,4922533200
11/5/2016,1.46597E+11,3788747450
12/5/2016,1.32767E+11,3144388390
5/13/2016,1.5756E+11,3038730290
5/14/2016,1.46597E+11,2538412294
5/15/2016,1.46597E+11,2538412294
5/16/2016,24898154713,4771513890
5/17/2016,1.46597E+11,2234170260
5/18/2016,1.46597E+11,5286636760
5/19/2016,1.14445E+11,3545761450
5/20/2016,21408603162,3792754320
5/21/2016,1.46597E+11,2538412294
5/22/2016,1.46597E+11,2538412294
5/23/2016,67244536053,4628900760
5/24/2016,1.46597E+11,4373696880
5/25/2016,97808129541,3558877350
5/26/2016,1.46597E+11,3235335735
5/27/2016,1.91717E+11,3503410440
5/28/2016,1.46597E+11,2538412294
5/29/2016,1.46597E+11,2538412294
5/30/2016,1.46597E+11,3773773535
5/31/2016,9.55319E+11,7033853430
1/6/2016,38108509229,1835068035
2/6/2016,1.62228E+11,2591796555
3/6/2016,1.46597E+11,3085726675
4/6/2016,1.46597E+11,2538412294
5/6/2016,1.46597E+11,2538412294
6/6/2016,23759247314,5225760815
7/6/2016,2.22194E+11,3641830530
8/6/2016,1.24821E+11,4069124025
9/6/2016,72513417231,2733869320
10/6/2016,19226561833,3131243500
11/6/2016,1.46597E+11,2538412294
12/6/2016,1.46597E+11,2538412294
6/13/2016,2736176,4435565200
6/14/2016,6.86664E+11,4025765520
6/15/2016,1.39566E+11,3054723860
6/16/2016,18318866746,2769807760
6/17/2016,1.46597E+11,3190412000
6/18/2016,1.46597E+11,2538412294
6/19/2016,1.46597E+11,2538412294
6/20/2016,1.46597E+11,3984816745
6/21/2016,2.13291E+11,3818832350
6/22/2016,1.46597E+11,3282446160
6/23/2016,1.70449E+11,3218374650
6/24/2016,2.51732E+11,3230834100
6/25/2016,1.46597E+11,2538412294
6/26/2016,1.46597E+11,2538412294
6/27/2016,1.46597E+11,2806386800
6/28/2016,49862690741,6137870200
6/29/2016,1.04623E+11,4363966640
6/30/2016,17752749597,5511545760
1/7/2016,2.45841E+12,2034873970
2/7/2016,1.46597E+11,2538412294
3/7/2016,1.46597E+11,2538412294
4/7/2016,1.46597E+11,2538412294
5/7/2016,1.46597E+11,2538412294
6/7/2016,1.46597E+11,2538412294
7/7/2016,1.46597E+11,2538412294
8/7/2016,1.46597E+11,2538412294
9/7/2016,1.46597E+11,2538412294
10/7/2016,1.46597E+11,2538412294
11/7/2016,1.97239E+11,4678802950
12/7/2016,1.46597E+11,5219183340
7/13/2016,1.46597E+11,5773453335
7/14/2016,2.3651E+11,4756113000
7/15/2016,75702779525,4661812545
7/16/2016,1.46597E+11,2538412294
7/17/2016,1.46597E+11,2538412294
